user_id,category_id,amount,expense_date,description
1,1,2500.00,2025/07/01,Weekly groceries at supermarket
2,2,₹10000.00,2025-07-01,Monthly house rent
3,5,1200.00,2025-07-02,Dinner with friends
4,3,1800,03-07-2025,Electricity and water bill
5,6,2200.00,2025-07-04,General health checkup
6,4,800,2025-07-04,Local transport charges
7,7,5000.00,2025-07-05,Tuition fees
8,8,950.00,2025-07-05,Movie and snacks
1,5,700.00,2025-07-06,Lunch at cafe
2,1,3000,2025-07-07,Vegetables and fruits
3,4,600.00,2025-07-08,Bus pass recharge
4,8,1200.00,2025-07-09,Concert tickets
5,2,₹10500.00,2025/07/10,Rent payment
6,6,1500.00,11-07-2025,Dental checkup
7,3,2500.00,2025-07-12,Water bill
8,1,2800.00,2025-07-13,Grocery shopping
1,3,950.00,2025/07/14,Internet and electricity bill
2,5,₹1400.00,15-07-2025,Dinner at restaurant
3,6,2300.00,2025-07-16,Medical prescription
4,1,3200.00,2025-07-17,Supermarket groceries
5,4,900.00,2025-07-18,Fuel for car
6,7,₹4000.00,2025-07-19,Online course fee
7,8,1100.00,2025-07-20,Cinema tickets
8,2,10000.00,21-07-2025,House rent

